# Analytical parameters for scattering factors in the 0 <= sin theta/lamda < 2.0 ≈^-1 range.
# Reference: Z. Su and P. Coppens, Acta Cryst.  A53, 749-762 (1997).
# Preparation of the table: C. Kim, I. Novozhilova, and P. Coppens.
# Z	Atom	
#	a1		a2		a3		a4		a5		a6
#	b1		b2		b3		b4		b5		b6

1	H
    0.43028     0.28537     0.17134     0.09451     0.01725     0.00114
    23.02312    10.20138    51.25444    4.13511     1.35427     0.24269

2	He
    0.69475     0.62068     0.38661     0.15223     0.12661     0.01907
    5.83366     12.87682    2.53296     28.16171    0.97507     0.25308

3	Li
    0.84645     0.81146     0.81096     0.26115     0.26055     0.00930
    4.63253     1.71862     97.87364    0.50620     200.00000   0.00010

4	Be
    1.59261     1.12768     0.70296     0.53815     0.03863     0.00010
    43.67397    1.86275     0.54243     103.44910   0.00010     0.34975

5	B
    2.07418     1.20577     1.07592     0.52023     0.12280     0.00010
    23.39543    1.07672     60.93249    0.27132     0.27192     0.11361

6	C
    2.09921     1.80832     1.26159     0.56775     0.26303     0.00010
    13.18997    30.37956    0.69255     0.16381     68.42774    0.44083

7	N
    2.45424     2.15782     1.05782     0.57557     0.44959     0.30480
    18.66694    8.31271     0.46989     42.44646    0.08747     0.47126

8	O
	2.34752		1.83006		1.61538		1.52402		0.41423		0.26867
	9.69710		18.59876	5.19879		0.32408		39.79099	0.01150

9	F
	2.96981		2.04536		1.78123		1.52086		0.42253		0.26008
	7.52365		15.41441	3.79721		0.25209		33.76478	0.00488

10 Ne
	3.56413		2.72559		1.67359		1.58884		0.25468		0.19320
	7.30559		3.34491		15.93226	0.13859		0.69111		35.26368

11 Na
	4.16491		2.38097		1.70484		1.59622		0.66291		0.48971
	4.23096		9.48502		0.12559		1.98358		172.13327	82.23091

12 Mg
	3.90882		2.62159		1.69157		1.52610		1.47907		0.77262
	3.06041		6.12146		0.10357		58.65022	1.56940		125.49980

13 Al
	4.25474		3.58301		2.37351		1.72366		0.99400		0.07031
	3.76670		1.69151		45.27810	0.09238		113.96978	17.47922

14 Si
	4.94976		3.25403		2.84957		1.66053		1.22949		0.05611
	2.70254		34.45314	1.24059		0.07201		84.53648	56.34208

15 P
	6.48197		4.31666		1.73759		1.35793		1.10559		0.00010
	1.89537		27.61455	0.50991		66.28296	0.00010		12.05652

16 S
	6.90565		5.24410		1.54516		1.42922		0.87564		0.00010
	1.46764		22.31576	56.06328	0.25588		0.00010 	26.96892

17 Cl
	7.13381		6.26972		1.82658		1.62579		0.14431		0.00010
	1.17455		18.57626	0.07869		48.08203	0.07871		23.23894

18 Ar
	7.28551		7.24549		1.74775		1.72174		0.00010		0.00010
	15.63295	0.95562		0.04456		41.07550	0.00617		20.09628

19 K
	8.13161		7.43972		1.42159		1.12030		0.88342		0.00010
	12.73675	0.77443		0.00010		200.00000	36.18711	82.98380

20 Ca
	8.62965		7.38765		1.63044		1.37681		0.97538		0.00010
	10.45238	0.66036		87.06258	0.00010		181.27760	28.57890

21 Sc
	9.18894		7.36727		1.60214		1.33655		0.78386		0.72047
	9.02948		0.57364		137.40503	0.00010		51.53615	53.74395

22 Ti
	9.75861		7.35354		1.46842		1.40591		1.28669		0.72609
	7.86172		0.50107		32.75146	90.95131	0.00010		149.02872

23 V
	10.25443	7.34699		1.84039		1.72148		1.22611		0.61000
	6.86177		0.43939		23.70259	79.72053	0.00010		149.36488

24 Cr
	10.67225	4.62093		3.33159		2.72784		1.45281		1.19090
	6.12143		0.39293		20.15470	0.39293		92.01317	0.00010

25 Mn
	10.98576	7.35617		2.92091		1.65707		1.08018		0.99906
	5.27951		0.34199		14.55791	54.87900	0.00010		118.26511

26 Fe
	11.18858	7.37206		3.55141		1.68125		1.20893		0.99652
	4.64599		0.30327		12.07655	44.15316	104.11866	0.00010

27 Co
	11.41624	7.38902		4.21351		1.80189		1.26103		0.91710
	4.12258		0.27069		10.36636	38.32442	97.14970	0.00010

28 Ni
	11.76300	7.39888		4.85491		1.98079		1.14857		0.85325
	3.69729		0.24374		9.30593		36.58880	96.02875	0.00010

29 Cu
	11.87211	7.37491		6.08548		1.94337		0.86475		0.85837
	3.34773		0.22522		8.46165		27.95010	98.02165	0.00012

30 Zn
	12.53020	6.57092		5.84880		2.07610		1.65893		1.31388
	3.05828		0.14326		7.58930		28.50706	0.38369		82.22092

31 Ga
	10.69865	7.89127		4.74778		3.83120		2.59218		1.23712
